length_of_stay,region,year,number_of_visits,spending_million
35 nights or more,Total World,2019,1217.0181936728545,3006.6820438488116
35 nights or more,Total World,2020,NA,NA
35 nights or more,Total World,2021,684.5685239735939,1742.9954823571195
35 nights or more,Total World,2022,1354.5234385177232,3404.509145353212
All visits,North America,2018,5423.720458812111,4705.95205982318
All visits,North America,2019,5372.815130460466,4918.437395912747
All visits,North America,2020,1170.7904770334803,NA
All visits,North America,2021,791.6512281695076,931.5840680049452
All visits,North America,2022,5483.4332116873675,6896.000646328463
All visits,Europe,2018,26692.62570620945,11327.288256075235
All visits,Europe,2019,27293.13337933366,12407.029990468529
All visits,Europe,2020,7987.792351741956,NA
All visits,Europe,2021,4833.60450747399,2897.270371672699
All visits,Europe,2022,20980.140257112245,11682.287982382428
All visits,- of which EU,2018,24293.881184409776,9716.667468493228
All visits,- of which EU,2019,24828.326766915867,10661.141970573995
All visits,- of which EU,2020,NA,NA
All visits,- of which EU,2021,4410.156952268003,2464.4399096748
All visits,- of which EU,2022,18959.440558076098,9961.58854077837
All visits,- of which EU15,2018,19980.04832079507,8204.283146029826
All visits,- of which EU15,2019,20327.89528819969,8732.829538014112
All visits,- of which EU15,2020,NA,NA
All visits,- of which EU15,2021,3515.5526216974076,2029.3526359094853
All visits,- of which EU15,2022,15621.273819225005,8572.965183523513
All visits,- of which EU Oth,2018,4313.83286361478,1512.3843224634138
All visits,- of which EU Oth,2019,4500.431478716098,1928.3124325598992
All visits,- of which EU Oth,2020,NA,NA
All visits,- of which EU Oth,2021,894.6043305705982,435.0872737653144
All visits,- of which EU Oth,2022,3338.1667388510314,1388.6233572548183
All visits,Other Countries,2018,8166.856463731305,10474.57813666269
All visits,Other Countries,2019,8191.499486696718,11122.78522591783
All visits,Other Countries,2020,1941.9242950444466,NA
All visits,Other Countries,2021,758.5675168410919,1817.4453528886042
All visits,Other Countries,2022,4780.865527337485,7918.352212104488
All visits,Total World,2018,40283.20262875296,26507.81845256107
All visits,Total World,2019,40857.44799649075,28448.252612299155
All visits,Total World,2020,11100.507123819907,6209.817009855798
All visits,Total World,2021,6383.823252484592,5646.299792566251
All visits,Total World,2022,31244.438996137244,26496.640840815442
